AppID,Name,Release date,Price,Positive,Negative,Categories,Genres,Tags,Rating
643870,Kitten Adventures in City Park,"Sep 8, 2017",0.0,555,37,"Single-player,Steam Achievements","Adventure,Indie","Cute,Indie,Adventure,Family Friendly,Singleplayer,Short,Free to Play,Exploration,Atmospheric,Point & Click,Cats,Funny,Comedy,Colorful,Cartoon,Retro,2D,Hand-drawn,Casual",0.9375
1363770,Escape Quest,"Sep 29, 2020",2.99,193,73,"Single-player,Multi-player,Co-op,Online Co-op,Family Sharing",Indie,"Puzzle,Multiplayer,Singleplayer,Fantasy,Hidden Object,Co-op,Online Co-Op,Stylized,Exploration,Adventure,Indie,Mystery,Casual,First-Person",0.7255639097744361
1570760,Variables 2,"Oct 1, 2021",14.99,398,39,"Single-player,Family Sharing","Casual,Indie,Strategy","Tower Defense,Voxel,Rogue-lite,Building,Turn-Based Tactics,Trading Card Game,Strategy,Turn-Based Strategy,Rogue-like,3D,3D Vision,Casual,Turn-Based Combat,Procedural Generation,Pixel Graphics,Space,Fantasy,Level Editor,Robots,Futuristic",0.9107551487414187
714800,Maitetsu,"Jun 29, 2018",14.99,337,17,"Single-player,Steam Achievements,Steam Cloud,Family Sharing",Casual,"Cute,Visual Novel,Anime,Trains,Casual,Funny,Sexual Content,NSFW,Story Rich,Romance,2D,Drama,Interactive Fiction,Choices Matter,Nudity,Hentai",0.9519774011299436
95300,Capsized,"Apr 29, 2011",9.99,823,255,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Remote Play Together,Family Sharing","Action,Indie","Action,Indie,Platformer,Sci-fi,Local Co-Op,2D,Shooter,Physics,Great Soundtrack,Singleplayer,Local Multiplayer,Adventure,Space,Beautiful,Difficult,Metroidvania,Atmospheric",0.7634508348794063
1201630,Mineirinho Director's Cut,"Jan 3, 2020",0.99,1224,628,"Single-player,Multi-player,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Trading Cards,Remote Play Together,Family Sharing","Action,Indie","Anime,Action,Story Rich,Indie,Memes,Difficult,3D Platformer,Third Person,Casual,Arcade,Character Action Game,Exploration,Platformer,Precision Platformer,Third-Person Shooter,Puzzle-Platformer,Cartoon,Split Screen,Co-op,Local Co-Op",0.6609071274298056
417860,Emily is Away,"Nov 20, 2015",0.0,28038,3593,"Single-player,Steam Achievements,Steam Trading Cards","Adventure,Casual,Free To Play,Indie,Simulation","Free to Play,Story Rich,Singleplayer,Choices Matter,Indie,Interactive Fiction,Simulation,Retro,Casual,Choose Your Own Adventure,Visual Novel,Romance,Pixel Graphics,Dating Sim,Short,Text-Based,Adventure,2D,Funny,Horror",0.8864089026587841
317710,Velocibox,"Sep 8, 2014",5.99,561,76,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Stats,Steam Leaderboards,Family Sharing","Action,Indie","Indie,Action,Difficult,Fast-Paced,Singleplayer,Arcade",0.880690737833595
926860,Bloody Rally Show,"Feb 19, 2020",19.99,248,26,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Steam Leaderboards,Includes level editor,Remote Play on TV,Remote Play Together,Family Sharing","Action,Indie,Racing,RPG,Simulation,Sports","Combat Racing,Rogue-lite,Racing,Sports,Auto Battler,Sandbox,PvP,Driving,Difficult,Automobile Sim,Survival,Arcade,Character Customization,2D,Split Screen,RPG,Physics,Transportation,Top-Down,Artificial Intelligence",0.9051094890510949
1663220,Coffee Talk Episode 2: Hibiscus & Butterfly,"Apr 20, 2023",14.99,1920,50,"Single-player,Steam Achievements,Full controller support,Steam Workshop,Steam Cloud,Family Sharing","Adventure,Casual,Indie,Simulation","Conversation,Relaxing,Pixel Graphics,Interactive Fiction,Visual Novel,Simulation,Atmospheric,LGBTQ+,2D,Choices Matter,Story Rich,Casual,Anime,Fantasy,Emotional,Drama,Colorful,Singleplayer,Adventure,Indie",0.9746192893401016
